USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          81  0.0  0.0      0     0 ?        S     2025   0:30 [ksoftirqd/1]
root          83  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/1:0H-events_highpri]
root          84  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/3]
root          85  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/3]
root          86  0.0  0.0      0     0 ?        S     2025   0:08 [migration/3]
root          87  0.0  0.0      0     0 ?        S     2025   0:05 [ksoftirqd/3]
root          89  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/3:0H-events_highpri]
root          90  0.0  0.0      0     0 ?        S     2025   0:00 [kdevtmpfs]
root          91  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-inet_frag_wq]
root          92  0.0  0.0      0     0 ?        S     2025   0:01 [kauditd]
root          93  0.0  0.0      0     0 ?        S     2025   0:01 [khungtaskd]
root          94  0.0  0.0      0     0 ?        S     2025   0:00 [oom_reaper]
root          97  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-writeback]
root          98  0.0  0.0      0     0 ?        S     2025   0:23 [kcompactd0]
root          99  0.0  0.0      0     0 ?        SN    2025   0:00 [ksmd]
root         100  0.0  0.0      0     0 ?        SN    2025   0:01 [khugepaged]
root         101  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kintegrityd]
root         102  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kblockd]
root         103  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-blkcg_punt_bio]
root         105  0.0  0.0      0     0 ?        S     2025  14:39 [irq/9-acpi]
root         107  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-tpm_dev_wq]
root         109  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-ata_sff]
root         110  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-md]
root         111  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-md_bitmap]
root         112  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-edac-poller]
root         113  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-devfreq_wq]
root         114  0.0  0.0      0     0 ?        S     2025   0:00 [watchdogd]
root         117  0.0  0.0      0     0 ?        S     2025   0:28 [kswapd0]
root         118  0.0  0.0      0     0 ?        S     2025   0:00 [ecryptfs-kthread]
root         119  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kthrotld]
root         121  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-acpi_thermal_pm]
root         124  0.0  0.0      0     0 ?        S     2025   0:22 [hwrng]
root         125  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-hfi-updates]
root         126  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-mld]
root         128  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-ipv6_addrconf]
root         136  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kstrp]
root         159  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-charger_manager]
root         161  0.0  0.0      0     0 ?        I<    2025   0:15 [kworker/0:1H-events_highpri]
root         185  0.0  0.0      0     0 ?        I<    2025   0:29 [kworker/8:1H-kblockd]
root         188  0.0  0.0      0     0 ?        I<    2025   0:12 [kworker/6:1H-kblockd]
root         213  0.0  0.0      0     0 ?        I<    2025   0:13 [kworker/7:1H-kblockd]
root         214  0.0  0.0      0     0 ?        I<    2025   1:21 [kworker/10:1H-i915_cleanup]
root         215  0.0  0.0      0     0 ?        I<    2025   0:18 [kworker/5:1H-kblockd]
root         216  0.0  0.0      0     0 ?        I<    2025   0:56 [kworker/11:1H-kblockd]
root         221  0.0  0.0      0     0 ?        I<    2025   1:36 [kworker/9:1H-i915_cleanup]
root         258  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-nvme-wq]
root         260  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-nvme-reset-wq]
root         263  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-nvme-delete-wq]
root         265  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-nvme-auth-wq]
root         285  0.1  0.0      0     0 ?        S     2025  48:32 [irq/140-SYNA3602:00]
root         288  0.0  0.0      0     0 ?        S     2025   0:00 [spi0]
root         327  0.0  0.0      0     0 ?        S     2025   1:35 [jbd2/nvme0n1p5-8]
root         328  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-ext4-rsv-conversion]
root         382  0.0  0.7 257032 176980 ?       S<s   2025   3:27 /usr/lib/systemd/systemd-journald
root         418  0.0  0.0  30992  8060 ?        Ss    2025   0:11 /usr/lib/systemd/systemd-udevd
root         457  0.0  0.0      0     0 ?        S     2025   0:00 [psimon]
root         621  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-cfg80211]
root         651  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-cryptd]
root         658  0.0  0.0      0     0 ?        S     2025  11:54 [irq/150-iwlwifi:default_queue]
root         659  0.0  0.0      0     0 ?        S     2025   0:45 [irq/151-iwlwifi:queue_1]
root         660  0.0  0.0      0     0 ?        S     2025   0:50 [irq/152-iwlwifi:queue_2]
root         661  0.0  0.0      0     0 ?        S     2025   2:11 [irq/153-iwlwifi:queue_3]
root         662  0.0  0.0      0     0 ?        S     2025   2:01 [irq/154-iwlwifi:queue_4]
root         663  0.0  0.0      0     0 ?        S     2025   1:08 [irq/155-iwlwifi:queue_5]
root         664  0.0  0.0      0     0 ?        S     2025   1:05 [irq/156-iwlwifi:queue_6]
root         665  0.0  0.0      0     0 ?        S     2025   0:34 [irq/157-iwlwifi:queue_7]
root         666  0.0  0.0      0     0 ?        S     2025   1:13 [irq/158-iwlwifi:queue_8]
root         667  0.0  0.0      0     0 ?        S     2025   1:46 [irq/159-iwlwifi:queue_9]
root         668  0.0  0.0      0     0 ?        S     2025   1:32 [irq/160-iwlwifi:queue_10]
root         669  0.0  0.0      0     0 ?        S     2025   0:52 [irq/161-iwlwifi:queue_11]
root         670  0.0  0.0      0     0 ?        S     2025   1:01 [irq/162-iwlwifi:queue_12]
root         671  0.0  0.0      0     0 ?        S     2025   0:00 [irq/163-iwlwifi:exception]
root         675  0.0  0.0      0     0 ?        S     2025   0:00 [irq/16-processor_thermal_device_pci]
root         697  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-ttm]
root         705  0.0  0.0      0     0 ?        S     2025   0:00 [card1-crtc0]
root         706  0.0  0.0      0     0 ?        S     2025   0:00 [card1-crtc1]
root         707  0.0  0.0      0     0 ?        S     2025   0:00 [card1-crtc2]
root         708  0.0  0.0      0     0 ?        S     2025   0:00 [card1-crtc3]
systemd+     825  0.0  0.0  17560  7328 ?        Ss    2025   3:59 /usr/lib/systemd/systemd-oomd
systemd+     841  0.0  0.0  23400 13104 ?        Ss    2025   3:14 /usr/lib/systemd/systemd-resolved
systemd+     847  0.0  0.0  91048  7172 ?        Ssl   2025   0:03 /usr/lib/systemd/systemd-timesyncd
avahi       1075  0.0  0.0   8988  4528 ?        Ss    2025   1:10 avahi-daemon: running [HYPI5.local]
root        1076  0.0  0.0  13556  5364 ?        Ss    2025   0:00 /usr/libexec/bluetooth/bluetoothd
message+    1078  0.0  0.0  12456  7412 ?        Ss    2025   9:35 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1084  0.0  0.0 439208 13048 ?        Ssl   2025   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1093  0.0  0.0 391196 16688 ?        Ssl   2025   0:35 /usr/lib/polkit-1/polkitd --no-debug
root        1097  0.0  0.0 310912  7656 ?        Ssl   2025   0:00 /usr/libexec/power-profiles-daemon
root        1114  0.0  0.1 2663960 30184 ?       Ssl   2025   2:59 /usr/lib/snapd/snapd
root        1122  0.0  0.0 311480  7940 ?        Ssl   2025   0:46 /usr/libexec/accounts-daemon
root        1127  0.0  0.0   6820  2740 ?        Ss    2025   0:01 /usr/sbin/cron -f -P
root        1133  0.0  0.0 307220  6712 ?        Ssl   2025   0:00 /usr/libexec/switcheroo-control
root        1144  0.0  0.0  18168  8504 ?        Ss    2025   0:09 /usr/lib/systemd/systemd-logind
